g.NS.time   B1.FAR      S1.N        B1.Wfuel    FNo.Tt      
0.41000000  0.02685803  10094.1216  26.4512493  2986.24045  
0.42000000  0.02687833  10094.9609  26.4795789  2987.55086  
0.43000000  0.02689858  10095.8136  26.5080127  2988.86026  
0.44000000  0.02691879  10096.6794  26.5365478  2990.16860  
0.45000000  0.02693896  10097.5578  26.5651806  2991.47579  
0.46000000  0.02695908  10098.4487  26.5939081  2992.78176  
0.47000000  0.02697916  10099.3519  26.6227284  2994.08645  
0.48000000  0.02699919  10100.2672  26.6516387  2995.38980  
0.49000000  0.02701917  10101.1944  26.6806364  2996.69173  
0.50000000  0.02703912  10102.1331  26.7097188  2997.99219  
0.51000000  0.02705901  10103.0832  26.7388831  2999.29111  
0.52000000  0.02707885  10104.0445  26.7681268  3000.58842  
0.53000000  0.02709865  10105.0168  26.7974474  3001.88407  
0.54000000  0.02711840  10105.9997  26.8268421  3003.17799  
0.55000000  0.02713810  10106.9932  26.8563086  3004.47013  
0.56000000  0.02715775  10107.9969  26.8858442  3005.76042  
0.57000000  0.02717735  10109.0107  26.9154467  3007.04881  
0.58000000  0.02719690  10110.0344  26.9451134  3008.33525  
0.59000000  0.02721640  10111.0678  26.9748422  3009.61966  
0.60000000  0.02723585  10112.1107  27.0046305  3010.90201  
0.61000000  0.02725524  10113.1628  27.0344760  3012.18224  
0.62000000  0.02727458  10114.2240  27.0643765  3013.46030  
0.63000000  0.02729387  10115.2941  27.0943297  3014.73613  
0.64000000  0.02731311  10116.3729  27.1243333  3016.00968  
0.65000000  0.02733229  10117.4602  27.1543852  3017.28091  
0.66000000  0.02735141  10118.5558  27.1844831  3018.54976  
0.67000000  0.02737049  10119.6596  27.2146249  3019.81620  
0.68000000  0.02738950  10120.7713  27.2448085  3021.08016  
0.69000000  0.02740847  10121.8908  27.2750318  3022.34161  
0.70000000  0.02742737  10123.0180  27.3052926  3023.60051  
0.71000000  0.02744622  10124.1526  27.3355890  3024.85680  
0.72000000  0.02746501  10125.2944  27.3659190  3026.11044  
0.73000000  0.02748375  10126.4434  27.3962805  3027.36139  
0.74000000  0.02750243  10127.5993  27.4266716  3028.60962  
0.75000000  0.02752105  10128.7620  27.4570903  3029.85507  
0.76000000  0.02753961  10129.9313  27.4875348  3031.09771  
0.77000000  0.02755811  10131.1071  27.5180032  3032.33751  
0.78000000  0.02757656  10132.2892  27.5484935  3033.57441  
0.79000000  0.02759494  10133.4774  27.5790040  3034.80839  
0.80000000  0.02761327  10134.6717  27.6095328  3036.03941  
0.81000000  0.02763153  10135.8718  27.6400782  3037.26742  
0.82000000  0.02764974  10137.0776  27.6706384  3038.49241  
0.83000000  0.02766789  10138.2889  27.7012116  3039.71432  
0.84000000  0.02768597  10139.5057  27.7317962  3040.93313  
0.85000000  0.02770400  10140.7278  27.7623904  3042.14881  
0.86000000  0.02772196  10141.9550  27.7929925  3043.36132  
0.87000000  0.02773986  10143.1872  27.8236010  3044.57063  
0.88000000  0.02775770  10144.4243  27.8542141  3045.77671  
0.89000000  0.02777548  10145.6661  27.8848303  3046.97953  
0.90000000  0.02779320  10146.9126  27.9154480  3048.17906  
0.91000000  0.02781085  10148.1635  27.9460656  3049.37526  
0.92000000  0.02782844  10149.4187  27.9766816  3050.56812  
0.93000000  0.02784597  10150.6782  28.0072944  3051.75761  
0.94000000  0.02786344  10151.9418  28.0379026  3052.94369  
0.95000000  0.02788084  10153.2093  28.0685047  3054.12634  
0.96000000  0.02789818  10154.4808  28.0990991  3055.30553  
0.97000000  0.02791546  10155.7559  28.1296845  3056.48125  
0.98000000  0.02793267  10157.0347  28.1602594  3057.65345  
0.99000000  0.02794982  10158.3169  28.1908225  3058.82213  
1.00000000  0.02796690  10159.6026  28.2213723  3059.98726  
1.01000000  0.02798392  10160.8916  28.2519074  3061.14880  
1.02000000  0.02800088  10162.1837  28.2824266  3062.30675  
1.03000000  0.02801777  10163.4788  28.3129285  3063.46108  
1.04000000  0.02803459  10164.7770  28.3434118  3064.61177  
1.05000000  0.02805136  10166.0779  28.3738751  3065.75879  
1.06000000  0.02806805  10167.3816  28.4043172  3066.90212  
1.07000000  0.02808468  10168.6880  28.4347369  3068.04176  
1.08000000  0.02810125  10169.9968  28.4651328  3069.17767  
1.09000000  0.02811775  10171.3081  28.4955039  3070.30984  
1.10000000  0.02813418  10172.6218  28.5258488  3071.43824  
1.11000000  0.02815055  10173.9377  28.5561663  3072.56287  
1.12000000  0.02816686  10175.2557  28.5864554  3073.68371  
1.13000000  0.02818309  10176.5758  28.6167147  3074.80073  
1.14000000  0.02819926  10177.8978  28.6469433  3075.91392  
1.15000000  0.02821537  10179.2217  28.6771398  3077.02327  
1.16000000  0.02823141  10180.5473  28.7073034  3078.12876  
1.17000000  0.02824738  10181.8747  28.7374327  3079.23037  
1.18000000  0.02826329  10183.2036  28.7675268  3080.32809  
1.19000000  0.02827913  10184.5340  28.7975846  3081.42191  
1.20000000  0.02829490  10185.8659  28.8276051  3082.51181  
1.21000000  0.02831061  10187.1991  28.8575871  3083.59778  
1.22000000  0.02832625  10188.5335  28.8875296  3084.67980  
1.23000000  0.02834182  10189.8691  28.9174317  3085.75786  
1.24000000  0.02835733  10191.2058  28.9472923  3086.83195  
1.25000000  0.02837277  10192.5435  28.9771105  3087.90207  
1.26000000  0.02838814  10193.8821  29.0068853  3088.96819  
1.27000000  0.02840344  10195.2215  29.0366157  3090.03030  
1.28000000  0.02841868  10196.5618  29.0663008  3091.08840  
1.29000000  0.02843386  10197.9027  29.0959397  3092.14248  
1.30000000  0.02844896  10199.2442  29.1255314  3093.19252  
1.31000000  0.02846400  10200.5863  29.1550751  3094.23852  
1.32000000  0.02847897  10201.9289  29.1845698  3095.28046  
1.33000000  0.02849387  10203.2718  29.2140147  3096.31834  
1.34000000  0.02850871  10204.6151  29.2434089  3097.35215  
1.35000000  0.02852348  10205.9587  29.2727516  3098.38189  
1.36000000  0.02853818  10207.3024  29.3020419  3099.40753  
1.37000000  0.02855282  10208.6463  29.3312790  3100.42908  
1.38000000  0.02856738  10209.9902  29.3604620  3101.44653  
1.39000000  0.02858188  10211.3341  29.3895902  3102.45987  
1.40000000  0.02859632  10212.6779  29.4186627  3103.46909  
1.41000000  0.02861068  10214.0216  29.4476788  3104.47419  
1.42000000  0.02862498  10215.3651  29.4766378  3105.47517  
1.43000000  0.02863921  10216.7083  29.5055388  3106.47201  
1.44000000  0.02865338  10218.0512  29.5343811  3107.46471  
1.45000000  0.02866748  10219.3936  29.5631639  3108.45327  
1.46000000  0.02868151  10220.7357  29.5918866  3109.43768  
1.47000000  0.02869547  10222.0772  29.6205485  3110.41745  
1.48000000  0.02870937  10223.4182  29.6491488  3111.39360  
1.49000000  0.02872319  10224.7585  29.6776868  3112.36559  
1.50000000  0.02873696  10226.0982  29.7061619  3113.33341  
1.51000000  0.02875065  10227.4371  29.7345733  3114.29705  
1.52000000  0.02876428  10228.7752  29.7629204  3115.25653  
1.53000000  0.02877784  10230.1125  29.7912026  3116.21183  
1.54000000  0.02879134  10231.4489  29.8194191  3117.16295  
1.55000000  0.02880476  10232.7843  29.8475694  3118.10989  
1.56000000  0.02881812  10234.1187  29.8756529  3119.05264  
1.57000000  0.02883142  10235.4520  29.9036688  3119.99121  
1.58000000  0.02884464  10236.7842  29.9316167  3120.92560  
1.59000000  0.02885781  10238.1153  29.9594959  3121.85580  
1.60000000  0.02887090  10239.4452  29.9873058  3122.78180  
1.61000000  0.02888393  10240.7738  30.0150459  3123.70362  
1.62000000  0.02889689  10242.1010  30.0427156  3124.62125  
1.63000000  0.02890978  10243.4270  30.0703143  3125.53468  
1.64000000  0.02892261  10244.7515  30.0978416  3126.44392  
1.65000000  0.02893538  10246.0746  30.1252967  3127.34898  
1.66000000  0.02894807  10247.3962  30.1526793  3128.24984  
1.67000000  0.02896070  10248.7162  30.1799887  3129.14651  
1.68000000  0.02897327  10250.0346  30.2072245  3130.03899  
1.69000000  0.02898576  10251.3515  30.2343862  3130.92728  
1.70000000  0.02899820  10252.6666  30.2614732  3131.81138  
1.71000000  0.02901056  10253.9801  30.2884852  3132.69130  
1.72000000  0.02902286  10255.2918  30.3154215  3133.56703  
1.73000000  0.02903510  10256.6016  30.3422817  3134.43857  
1.74000000  0.02904727  10257.9097  30.3690654  3135.30594  
1.75000000  0.02905937  10259.2159  30.3957721  3136.16912  
1.76000000  0.02907141  10260.5201  30.4224014  3137.02813  
1.77000000  0.02908339  10261.8224  30.4489527  3137.88296  
1.78000000  0.02909530  10263.1227  30.4754257  3138.73361  
1.79000000  0.02910714  10264.4210  30.5018200  3139.58010  
1.80000000  0.02911892  10265.7172  30.5281351  3140.42242  
1.81000000  0.02913063  10267.0112  30.5543706  3141.26057  
1.82000000  0.02914228  10268.3032  30.5805261  3142.09456  
1.83000000  0.02915387  10269.5929  30.6066013  3142.92440  
1.84000000  0.02916539  10270.8805  30.6325956  3143.75008  
1.85000000  0.02917684  10272.1658  30.6585088  3144.57161  
1.86000000  0.02918824  10273.4488  30.6843405  3145.38899  
1.87000000  0.02919956  10274.7294  30.7100903  3146.20223  
1.88000000  0.02921083  10276.0078  30.7357578  3147.01133  
1.89000000  0.02922203  10277.2837  30.7613427  3147.81630  
1.90000000  0.02923316  10278.5572  30.7868446  3148.61714  
1.91000000  0.02924423  10279.8283  30.8122632  3149.41385  
1.92000000  0.02925524  10281.0969  30.8375982  3150.20644  
1.93000000  0.02926619  10282.3629  30.8628492  3150.99544  
1.94000000  0.02927707  10283.6264  30.8880159  3151.77985  
1.95000000  0.02928789  10284.8874  30.9130979  3152.56015  
1.96000000  0.02929864  10286.1457  30.9380950  3153.33636  
1.97000000  0.02930934  10287.4014  30.9630070  3154.10847  
1.98000000  0.02931997  10288.6544  30.9878334  3154.87649  
1.99000000  0.02933053  10289.9048  31.0125740  3155.64044  
2.00000000  0.02934104  10291.1524  31.0372285  3156.40031  
2.01000000  0.02935148  10292.3972  31.0617967  3157.15610  
2.02000000  0.02936186  10293.6393  31.0862783  3157.90784  
2.03000000  0.02937218  10294.8786  31.1106730  3158.65551  
2.04000000  0.02938244  10296.1151  31.1349805  3159.39914  
2.05000000  0.02939263  10297.3487  31.1592006  3160.13872  
2.06        0.02940276  10298.5794  31.1833331  3160.87426  
2.07        0.02941283  10299.8072  31.2073777  3161.60578  
2.07999999  0.02942284  10301.0320  31.2313342  3162.33326  
2.08999999  0.02943279  10302.2540  31.2552023  3163.05673  
2.09999999  0.02944268  10303.4729  31.2789819  3163.77619  
2.10999999  0.02945250  10304.6889  31.3026738  3164.49166  
2.11999999  0.02946227  10305.9020  31.3262775  3165.20315  
2.12999999  0.02947198  10307.1120  31.3497919  3165.91063  
2.13999999  0.02948162  10308.3189  31.3732167  3166.61414  
2.14999999  0.02949120  10309.5227  31.3965518  3167.31367  
2.15999999  0.02950073  10310.7234  31.4197969  3168.00923  
2.16999999  0.02951019  10311.9209  31.4429519  3168.70084  
2.17999999  0.02951960  10313.1152  31.4660166  3169.38849  
2.18999999  0.02952894  10314.3064  31.4889909  3170.07219  
2.19999999  0.02953822  10315.4943  31.5118745  3170.75196  
2.20999999  0.02954745  10316.6790  31.5346674  3171.42780  
2.21999999  0.02955662  10317.8604  31.5573693  3172.09973  
2.22999999  0.02956572  10319.0386  31.5799802  3172.76774  
2.23999999  0.02957477  10320.2135  31.6024999  3173.43185  
2.24999999  0.02958376  10321.3850  31.6249282  3174.09207  
2.25999999  0.02959269  10322.5532  31.6472651  3174.74840  
2.26999999  0.02960156  10323.7181  31.6695103  3175.40085  
2.27999999  0.02961038  10324.8796  31.6916638  3176.04944  
2.28999999  0.02961913  10326.0377  31.7137255  3176.69417  
2.29999999  0.02962783  10327.1925  31.7356952  3177.33505  
2.30999999  0.02963647  10328.3438  31.7575728  3177.97209  
2.31999999  0.02964505  10329.4916  31.7793582  3178.60530  
2.32999999  0.02965358  10330.6361  31.8010513  3179.23469  
2.33999999  0.02966205  10331.7770  31.8226521  3179.86026  
2.34999999  0.02967046  10332.9145  31.8441604  3180.48203  
2.35999999  0.02967881  10334.0484  31.8655762  3181.10001  
2.36999999  0.02968711  10335.1789  31.8868993  3181.71420  
2.37999999  0.02969535  10336.3058  31.9081297  3182.32462  
2.38999999  0.02970354  10337.4292  31.9292673  3182.93127  
2.39999999  0.02971167  10338.5490  31.9503121  3183.53417  
2.40999999  0.02971974  10339.6653  31.9712639  3184.13332  
2.41999999  0.02972775  10340.7779  31.9921227  3184.72874  
2.42999999  0.02973572  10341.8870  32.0128885  3185.32043  
2.43999999  0.02974362  10342.9924  32.0335607  3185.90840  
2.44999999  0.02975147  10344.0942  32.0541403  3186.49267  
2.45999999  0.02975927  10345.1924  32.0746267  3187.07324  
2.46999999  0.02976701  10346.2869  32.0950199  3187.65013  
2.47999999  0.02977469  10347.3778  32.1153198  3188.22334  
2.48999999  0.02978232  10348.4650  32.1355263  3188.79289  
2.49999999  0.02978990  10349.5485  32.1556396  3189.35878  
2.50999999  0.02979742  10350.6283  32.1756595  3189.92103  
2.51999999  0.02980489  10351.7044  32.1955860  3190.47964  
2.52999999  0.02981231  10352.7768  32.2154192  3191.03464  
2.53999999  0.02981967  10353.8454  32.2351589  3191.58601  
2.54999999  0.02982698  10354.9103  32.2548052  3192.13379  
2.55999999  0.02983423  10355.9714  32.2743581  3192.67798  
2.56999999  0.02984143  10357.0288  32.2938176  3193.21858  
2.57999999  0.02984858  10358.0824  32.3131836  3193.75562  
2.58999999  0.02985568  10359.1322  32.3324562  3194.28909  
2.59999999  0.02986272  10360.1782  32.3516354  3194.81902  
2.60999999  0.02986971  10361.2204  32.3707213  3195.34541  
2.61999999  0.02987665  10362.2588  32.3897137  3195.86827  
2.62999999  0.02988354  10363.2933  32.4086128  3196.38762  
2.63999999  0.02989037  10364.3241  32.4274185  3196.90346  
2.64999999  0.02989716  10365.3510  32.4461309  3197.41581  
2.65999999  0.02990389  10366.3740  32.4647500  3197.92468  
